ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target,
ID_16D6BP5,5/2/2010,5/1/2011,Entity,10,5/2/2010,3,Pick Up,As Attached,TOYOTA,Abuja Municipal,Abuja-Municipal,CVTP,0,
ID_16S4IOQ,4/24/2010,2/18/2011,Male,20,4/24/2010,2,JEEP,Black,Ford,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,
ID_17L53L6,5/8/2010,5/7/2011,Male,32,5/8/2010,1,Truck,Blue,Mack,Victoria Island,Lagos,CVTP,0,
ID_187AKRK,10/28/2010,10/27/2011,Joint Gender,33,10/28/2010,1,JEEP,White,TOYOTA,Victoria Island,Lagos,Car Classic,0,
ID_18GY66Q,5/14/2010,5/13/2011,Female,44,5/14/2010,1,Saloon,Silver,TOYOTA,Ikeja,Lagos,Car Classic,0,
ID_18YZ6U0,11/15/2010,11/14/2011,Male,36,11/15/2010,1,Saloon,Silver,TOYOTA,Surulere,Lagos,Car Classic,0,
ID_19PV13X,12/27/2010,12/26/2011,Female,42,12/27/2010,1,JEEP,Black,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0,
ID_1AEALON,4/1/2010,3/31/2011,Male,40,4/1/2010,1,Saloon,Black,TOYOTA,Lagos Island,Lagos,Car Classic,0,
ID_1AGD0F5,1/9/2010,1/8/2011,Male,44,1/9/2010,1,JEEP,Black,Mitsubishi,Lekki,Lagos,Car Classic,1,
ID_1B6Z6XM,12/6/2010,12/5/2011,Male,37,12/6/2010,1,Saloon,Green,TOYOTA,Ajah,Lagos,Car Classic,1,
ID_1BHWDTY,4/9/2010,4/8/2011,Female,40,4/9/2010,1,JEEP,White,TOYOTA,GBAGADA,Benue,Car Classic,0,
ID_1BJ5TY2,11/14/2010,11/13/2011,Male,36,11/14/2010,1,Saloon,Grey,Honda,Ketu,Lagos,Car Classic,1,
ID_1BSUBQE,1/11/2010,1/10/2011,Male,43,1/11/2010,3,Saloon,Green,Ford,Ondo West,Ondo-West,Car Classic,0,
ID_1BTE1WF,4/12/2010,4/11/2011,Male,40,4/12/2010,2,JEEP,Black,Honda,Lagos Island,Lagos,Car Classic,0,
ID_1C6719S,4/29/2010,4/28/2011,Male,54,4/29/2010,2,Mini Bus,Blue,TOYOTA,Victoria Island,Lagos,Customized Motor,1,
ID_1CMZQIT,2/26/2010,2/25/2011,Male,44,2/26/2010,1,Saloon,Wine,TOYOTA,Festac,Benue,Car Classic,1,
ID_1COUM0B,1/8/2010,1/7/2011,Male,45,1/8/2010,1,Saloon,Black,Honda,Lagos Mainland,Lagos,Car Classic,0,
ID_1CWOBX4,7/4/2010,7/3/2011,Male,48,7/4/2010,1,Saloon,Black,Peugeot,Agege,Lagos,Car Plus,1,
ID_1D5LCZF,9/16/2010,9/15/2011,Male,52,9/16/2010,1,JEEP,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0,
ID_1DHMAC1,6/11/2010,6/10/2011,Male,28,6/11/2010,1,Saloon,Silver,TOYOTA,Agege,Lagos,Car Classic,0,
ID_1EOHPSF,6/17/2010,6/16/2011,Male,39,6/17/2010,1,Truck,White,Iveco,Victoria Island,Lagos,CVTP,1,
ID_1EPDMGM,9/18/2010,9/17/2011,Male,48,9/18/2010,2,Saloon,Silver,TOYOTA,Alimosho,Lagos,Car Classic,1,
ID_1FA0PNH,1/28/2010,1/27/2011,Male,36,1/28/2010,2,Saloon,Silver,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,
ID_1G7G96S,7/4/2010,7/3/2011,Male,34,7/4/2010,2,Saloon,As Attached,TOYOTA,Ikorodu,Lagos,Car Classic,1,
ID_1GU7HBN,5/9/2010,5/8/2011,Female,34,5/9/2010,1,JEEP,Black,Nissan,Awka South,Awka-South,Car Classic,0,
ID_1IEJMXT,5/31/2010,5/29/2011,Male,42,5/31/2010,1,JEEP,Black,Lexus,Victoria Island,Lagos,Car Classic,0,
ID_1J9II7G,8/30/2010,8/29/2011,Female,44,8/30/2010,1,JEEP,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,1,
ID_1JGHYT3,3/7/2010,3/6/2011,Male,45,3/7/2010,1,Saloon,Silver,Hyundai,Asokoro District,Abuja,Car Classic,0,
ID_1JL7FO6,11/20/2010,11/19/2011,Female,70,11/20/2010,2,Saloon,Black,Hyundai,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0,
ID_1JNAIXM,10/31/2010,10/30/2011,Male,41,10/31/2010,1,Saloon,Black,Honda,Ile-Oluji,Ile-Oluji,Car Classic,0,
ID_1JRMQSP,2/26/2010,2/25/2011,Male,38,2/26/2010,1,Saloon,Green,Volkswagen,Obia/Akpor,Obia-Akpor,Car Plus,0,
ID_1L7KXZW,7/22/2010,7/21/2011,Female,7,7/22/2010,1,JEEP,Blue,TOYOTA,Ijebu Ode,Ijebu-Ode,Car Classic,0,
ID_1LXD5W8,1/6/2010,1/5/2011,Female,61,1/6/2010,1,JEEP,Black,Ford,Lagos Mainland,Lagos,Car Classic,0,
ID_1M2240M,7/3/2010,7/2/2011,Male,20,7/3/2010,5,Saloon,Green,Mercedes,Victoria Island,Lagos,Car Classic,0,
ID_1MIDZ0K,9/3/2010,9/2/2011,Male,42,9/3/2010,1,JEEP,Black,Ford,Lagos Mainland,Lagos,Car Classic,0,
ID_1N10J1D,2/25/2010,2/24/2011,Entity,30,2/25/2010,1,JEEP,Black,Hyundai,Lagos Island,Lagos,Car Classic,1,
ID_1NB89Q5,2/23/2010,1/22/2011,Female,39,2/23/2010,1,Saloon,Silver,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,
ID_1NDVDIP,4/11/2010,4/10/2011,Female,37,4/11/2010,1,Saloon,Black,Honda,Port-Harcourt,Port-Harcourt,Car Classic,0,
ID_1NEBCEH,11/18/2010,11/17/2011,Male,46,11/18/2010,1,Saloon,Blue,Honda,Ifako-Ijaye ,Ifako-Ijaye,CarFlex,0,
ID_1NJUN7A,11/29/2010,11/28/2011,Female,52,11/29/2010,1,JEEP,Green,Hyundai,Eti-Osa,Eti-Osa,Car Classic,0,
ID_1NZZEZS,1/24/2010,12/31/2010,Female,52,1/24/2010,2,JEEP,Black,Lexus,Lagos Island,Lagos,Car Classic,0,
ID_1OHL7WC,5/30/2010,5/28/2011,Female,44,5/30/2010,1,JEEP,As Attached,TOYOTA,Ikeja,Lagos,Car Classic,0,
ID_1OR3NCH,4/3/2010,4/1/2011,Male,41,4/3/2010,1,JEEP,As Attached,Lexus,Oshodi,Lagos,Car Plus,0,
ID_1OVST5Q,3/18/2010,3/17/2011,Male,66,3/18/2010,1,JEEP,Silver,TOYOTA,Alagbado,Lagos,Car Classic,0,
ID_1P275L5,1/10/2010,1/9/2011,Male,43,1/10/2010,1,Saloon,Red,TOYOTA,Ikorodu,Lagos,Car Classic,1,
ID_1P6QRRB,1/10/2010,1/9/2011,Female,43,1/10/2010,1,Saloon,As Attached,Kia,Victoria Island,Lagos,Car Classic,1,
ID_1PZ90EM,7/30/2010,7/29/2011,Male,50,7/30/2010,2,Saloon,Ash,TOYOTA,Ikeja,Lagos,Car Classic,0,
ID_1Q6MEZ9,8/27/2010,2/25/2011,Entity,7,8/27/2010,1,JEEP,Brown,TOYOTA,Ikeja,Lagos,Car Classic,0,
ID_1QR4SVV,2/9/2010,2/8/2011,Female,43,2/9/2010,1,Saloon,Black,Kia,Abuja Municipal,Abuja-Municipal,Car Classic,0,
ID_1QTCJ0C,5/17/2010,5/16/2011,Female,32,5/17/2010,1,Saloon,Gold,TOYOTA,Surulere,Lagos,Car Classic,0,
ID_1TS8S86,5/17/2010,5/16/2011,Male,38,5/17/2010,1,JEEP,Black,Lexus,Victoria Island,Lagos,Car Classic,0,
ID_1TSIW3H,5/9/2010,5/8/2011,Male,44,5/9/2010,2,Saloon,As Attached,TOYOTA,ENUGU EAST,ENUGU-EAST,Car Classic,1,
ID_1U4820X,6/14/2010,6/13/2011,Male,43,6/14/2010,2,JEEP,Black,Mitsubishi,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,
ID_1U77AQW,3/15/2010,3/14/2011,Male,39,3/15/2010,1,Saloon,Grey,TOYOTA,Ikorodu,Lagos,Car Classic,0,
ID_1USOPRM,12/20/2010,12/19/2011,Male,63,12/20/2010,1,JEEP,Black,Nissan,Lagos Island,Lagos,Car Classic,0,
ID_1UUT46P,6/27/2010,6/26/2011,Male,34,6/27/2010,1,Saloon,Silver,TOYOTA,ISHERI,Benue,Car Classic,0,
ID_1VJM18R,3/25/2010,3/24/2011,Male,41,3/25/2010,3,Saloon,Black,Volkswagen,Lekki,Lagos,Car Classic,0,
ID_1VM7591,11/12/2010,11/10/2011,Female,20,11/12/2010,3,JEEP,Green,Ford,Victoria Island,Lagos,Car Classic,0,
ID_1WP8205,3/28/2010,3/25/2011,Female,44,3/28/2010,1,Saloon,Grey,Nissan,Lekki,Lagos,Car Classic,1,
ID_1WRRVHH,5/23/2010,5/22/2011,Male,34,5/23/2010,3,Saloon,Wine,TOYOTA,Ajah,Lagos,Car Classic,1,
ID_1YVYDZR,7/17/2010,7/16/2011,Female,46,7/17/2010,2,Saloon,Grey,Honda,Kosofe,Benue,Car Classic,0,
ID_1ZM6AAT,10/5/2010,10/4/2011,Female,41,10/5/2010,2,Saloon,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0,
ID_1ZVEHPG,5/16/2010,5/15/2011,Female,37,5/16/2010,2,Saloon,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,
ID_20GFWO2,1/1/2010,12/31/2010,Joint Gender,44,1/1/2010,1,Saloon,As Attached,Honda,Ikeja,Lagos,Car Classic,0,
ID_21ANRC4,7/23/2010,7/22/2011,Male,58,7/23/2010,1,JEEP,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0,
ID_21D1IFT,11/20/2010,11/19/2011,Female,31,11/20/2010,1,Saloon,Red,Kia,Surulere,Lagos,Car Classic,0,
ID_227P0O1,5/24/2010,5/23/2011,Male,36,5/24/2010,2,Saloon,Gold,Honda,Surulere,Lagos,Car Plus,0,
ID_2282GBA,8/21/2010,2/19/2011,Female,37,8/21/2010,1,Saloon,Black,TOYOTA,Abuja,Abuja,Car Plus,0,
ID_22OTNSM,7/30/2010,7/29/2011,Joint Gender,38,7/30/2010,1,Saloon,As Attached,TOYOTA,Victoria Island,Lagos,Car Classic,1,
ID_23X554C,12/20/2010,12/19/2011,Male,40,12/20/2010,1,JEEP,Green,Mercedes,Ikeja,Lagos,Car Classic,0,
ID_2496Y9X,7/4/2010,7/3/2011,Male,56,7/4/2010,1,JEEP,Black,Jeep,Shagamu,Ogun,Car Classic,0,
ID_24BNDUP,7/12/2010,7/11/2011,Male,35,7/12/2010,1,Saloon,Black,TOYOTA,Nnewi North,Nnewi-North,Car Classic,0,
ID_2529E17,3/15/2010,3/14/2011,Female,39,3/15/2010,1,JEEP,Ash,Lexus,Surulere,Lagos,Car Classic,0,
ID_259XHKT,5/30/2010,5/29/2011,Male,57,5/30/2010,1,JEEP,Black,Ford,Aboh-Mbaise,Aboh-Mbaise,Car Classic,0,
ID_25CHSGU,1/8/2010,1/7/2011,Female,42,1/8/2010,1,JEEP,Black,Honda,Kosofe,Benue,Car Classic,0,
ID_25TUDUF,6/18/2010,6/17/2011,Male,42,6/18/2010,1,Saloon,Silver,TOYOTA,Lekki,Lagos,Car Classic,1,
ID_2652VPJ,6/14/2010,6/13/2011,NO GENDER,26,6/14/2010,1,Saloon,Black,Mercedes,Victoria Island,Lagos,Car Classic,0,
ID_268YYWJ,10/14/2010,4/25/2011,Male,40,10/14/2010,1,JEEP,Black,Lexus,Eti-Osa,Eti-Osa,Car Classic,0,
ID_274J32T,7/3/2010,4/7/2011,Male,43,7/3/2010,1,JEEP,Black,Mercedes,Victoria Island,Lagos,Car Classic,0,
ID_27SJAPW,7/5/2010,7/4/2011,Male,57,7/5/2010,2,JEEP,Black,TOYOTA,Akinyele,Benue,Car Classic,0,
ID_27TXJNQ,6/28/2010,6/27/2011,Female,46,6/28/2010,1,JEEP,Silver,Range Rover,Lekki,Lagos,Customized Motor,0,
ID_284CGBB,2/26/2010,2/25/2011,Entity,10,2/26/2010,3,JEEP,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Plus,1,
ID_28MEXRG,2/19/2010,2/18/2011,Female,41,2/19/2010,1,Saloon,Green,TOYOTA,Abuja,Abuja,Car Classic,0,
ID_29A33DB,4/16/2010,4/15/2011,Male,59,4/16/2010,2,Pick Up > 3 Tons,Silver,Honda,Oyo,Oyo,Customized Motor,0,
ID_29CPSZQ,3/1/2010,3/1/2011,Male,37,3/1/2010,1,Saloon,Grey,Honda,Yaba,Benue,Car Classic,0,
ID_2BEK8QW,4/25/2010,3/9/2011,Male,31,4/25/2010,2,Saloon,Red,TOYOTA,OGBA,Benue,Car Classic,1,
ID_2C775KM,5/26/2010,5/25/2011,Male,19,5/26/2010,1,Saloon,Grey,TOYOTA,Victoria Island,Lagos,CarSafe,0,
ID_2C7YUAU,7/1/2010,6/30/2011,Female,51,7/1/2010,4,JEEP,Black,Honda,Lagos Mainland,Lagos,Car Classic,0,
ID_2CFW65E,5/23/2010,5/22/2011,Female,79,5/23/2010,1,JEEP,Black,TOYOTA,Oredo,Benue,Car Classic,1,
ID_2CR4BW9,4/26/2010,4/25/2011,Male,38,4/26/2010,2,Saloon,Black,Mercedes,Ilupeju,Lagos,Car Plus,0,
ID_2DL1VCD,4/6/2010,4/5/2011,Male,36,4/6/2010,1,Saloon,Silver,TOYOTA,Surulere,Lagos,Car Classic,0,
ID_2DLO8BB,3/7/2010,3/6/2011,Male,38,3/7/2010,1,Saloon,Black,Audi,Eti-Osa,Eti-Osa,Car Classic,0,
ID_2DXWUFO,9/23/2010,9/22/2011,Female,32,9/23/2010,1,Saloon,As Attached,TOYOTA,Calabar,Cross-River,Car Classic,0,
ID_2EBS770,7/28/2010,7/27/2011,Male,40,7/28/2010,2,Saloon,White,Mercedes,OGBA,Benue,Car Plus,0,
ID_2FCKHW9,10/25/2010,7/27/2011,Male,37,10/25/2010,1,Saloon,Green,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,0,
ID_2FSH3ZL,4/9/2010,4/4/2011,Female,30,4/9/2010,1,Saloon,Green,Honda,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,
ID_2FVQ9ZF,2/5/2010,2/4/2011,Male,30,2/5/2010,1,Saloon,White,TOYOTA,Lekki,Lagos,Car Classic,1,
ID_2G4R4G7,2/4/2010,2/3/2011,Male,30,2/4/2010,2,Saloon,Black,Honda,Obia/Akpor,Obia-Akpor,Car Classic,0,
ID_2GK0PV3,11/8/2010,11/7/2011,Male,44,11/8/2010,1,Saloon,Black,TOYOTA,Ifako-Ijaye ,Ifako-Ijaye,Car Classic,0,
ID_2GZPV2U,3/29/2010,3/28/2011,Joint Gender,45,3/29/2010,1,JEEP,Black,Honda,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,
ID_2H55IJT,6/25/2010,6/24/2011,Male,43,6/25/2010,2,JEEP,Black,Lexus,Shomolu,Benue,Car Classic,0,
ID_2HASJN3,7/6/2010,7/5/2011,Female,38,7/6/2010,1,Saloon,Green,Hyundai,Port Harcourt,Rivers,Car Classic,0,
ID_2HQ06E4,11/7/2010,11/6/2011,Male,43,11/7/2010,2,Saloon,Black,TOYOTA,Abuja Municipal,Abuja-Municipal,Car Classic,0,
ID_2HTCFLG,9/24/2010,9/23/2011,Joint Gender,73,9/24/2010,1,JEEP,Black,Honda,Lagos Mainland,Lagos,Car Classic,0,
ID_2HTJMUX,4/10/2010,4/9/2011,Female,34,4/10/2010,1,Saloon,Ash,TOYOTA,AKUTE,Benue,Car Classic,0,
ID_2IMEOEN,6/6/2010,6/5/2011,Male,42,6/6/2010,1,Saloon,Grey,TOYOTA,Lekki,Lagos,Car Classic,0,
ID_2INUI1S,2/27/2010,2/26/2011,Male,46,2/27/2010,2,Mini Bus,Gold,TOYOTA,Victoria Island,Lagos,Car Classic,0,
ID_2IOQAKR,2/21/2010,2/20/2011,Male,51,2/21/2010,1,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,
ID_2JCPR87,11/6/2010,8/6/2011,Male,52,11/6/2010,3,Saloon,As Attached,TOYOTA,Apapa,Lagos,Car Classic,0,
ID_2JKAUIG,2/20/2010,2/19/2011,Male,45,2/20/2010,4,JEEP,Black,Honda,Victoria Island,Lagos,Car Classic,0,
ID_2KJPXBO,11/22/2010,11/21/2011,Female,52,11/22/2010,1,Saloon,Blue,Honda,Surulere,Lagos,Car Classic,0,
ID_2KYYOEE,5/20/2010,5/13/2011,Male,44,5/20/2010,1,JEEP,Black,TOYOTA,Ikeja,Lagos,Car Classic,1,
ID_2L0H9US,5/23/2010,5/22/2011,Male,34,5/23/2010,2,JEEP,Black,TOYOTA,Warri Central,Warri-Central,Car Classic,0,
